,Unnamed: 0,absolute_magnitude_h,is_sentry_object,meters_estimated_diameter,orbit_id,orbit_class_type,perihelion_distance,aphelion_distance,orbit_class_description,volume (m^3)
17246,17835,24.7,0,26298449483186.97,6,0,0.020306601046979178,0.9474596042833782,1,2.4225001430164347e+37
17247,6055,19.9,0,3.574213767839431e+21,18,0,0.2596834718660329,1.1662754180701602,1,6.081559252647353e+61
17248,21877,23.7,0,1301239704128001.0,2,1,-0.018137613181728535,0.2930699890341696,3,2.934575505380203e+42
17249,6329,20.1,0,1.637929070493495e+21,27,1,-0.4554533299726236,1.034946649207808,3,5.852732099245674e+60
17250,22180,24.5,0,57387271237642.89,5,1,-0.20689688950381385,0.9192510397500795,3,2.5172137233735114e+38
17251,2004,18.0,0,5.923687391652495e+24,99,1,-0.03583918788077567,1.8200781522860188,3,2.768533397779405e+71
17252,12066,25.1,0,5522799513364.886,28,1,-0.00734425414158238,0.10379656853665152,3,2.243629797554003e+35
17253,7721,26.2,0,75559556454.60587,10,2,-0.29871443199649855,0.04514336661669922,2,5.7456816525500754e+29
17254,3099,22.2,0,4.5289554608090445e+17,12,0,0.12789141236970503,0.775430689133316,1,1.2372786636595617e+50
17255,1916,18.7,0,3.859162961319051e+23,31,1,-0.4046874571840778,0.4697707376591466,3,7.655132739452419e+67
17256,3022,20.9,0,7.223594536642668e+19,17,0,0.019770691207164362,0.6385010814632132,1,5.020343753253138e+56
17257,7398,20.7,0,,18,1,-0.17545626988773674,1.0370026966098498,3,
17258,4991,19.56,0,1.3467461983730923e+22,34,0,0.2838470051117374,1.5630230030864987,1,3.2533489499287105e+63
17259,15256,25.04,0,6979509612233.272,6,1,-0.13353455868371936,1.9663650212636077,3,4.52843453775328e+35
17260,14737,23.9,0,596309698666014.0,5,1,-0.2278632224104095,0.4670351164420653,3,2.824158014469828e+41
17261,6041,25.1,0,5522799513364.886,9,1,-0.21433734503034346,0.6858830475052428,3,2.243629797554003e+35
17262,23175,24.3,0,125227874873727.05,5,0,0.10180475804533759,1.2471063883204208,1,2.615630593874514e+39
17263,10341,24.7,0,26298449483186.97,12,1,-0.10910226967943508,0.5703601950440155,3,2.4225001430164347e+37
17264,15773,25.7,0,531499645266.5903,8,1,0.002915473367002575,1.3428800363818643,3,1.9997803997476113e+32
17265,15128,22.1,0,6.690225640196417e+17,14,2,-0.41166782603432717,0.430831700284163,2,3.988372074723177e+50
